data,create_time
"{""TMP"":[469],""HR"":[7640],""PRS"":[102000],""FX"":[6],""DO"":[3314],""wTMP"":[1260],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",17/11/2023 12:30:43.356349+08
"{""TMP"":[440],""HR"":[7590],""PRS"":[102100],""FX"":[6],""DO"":[3004],""wTMP"":[1250],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",17/11/2023 12:29:37.949508+08
"{""TMP"":[450],""HR"":[7569],""PRS"":[102000],""FX"":[5],""DO"":[3324],""wTMP"":[1260],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",17/11/2023 12:28:32.546231+08
"{""TMP"":[410],""HR"":[7530],""PRS"":[102000],""FX"":[6],""DO"":[2997],""wTMP"":[1250],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",17/11/2023 12:27:27.159053+08
"{""TMP"":[410],""HR"":[7460],""PRS"":[102100],""FX"":[6],""DO"":[3097],""wTMP"":[1260],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",17/11/2023 12:26:21.591109+08
"{""TMP"":[419],""HR"":[7569],""PRS"":[102100],""FX"":[6],""DO"":[2906],""wTMP"":[1270],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",17/11/2023 12:25:16.226213+08
"{""TMP"":[410],""HR"":[7580],""PRS"":[102000],""FX"":[6],""DO"":[1872],""wTMP"":[1260],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",17/11/2023 12:24:10.84803+08
"{""TMP"":[419],""HR"":[7530],""PRS"":[102000],""FX"":[6],""DO"":[793],""wTMP"":[1250],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",17/11/2023 12:23:05.300416+08
"{""TMP"":[430],""HR"":[7469],""PRS"":[102000],""FX"":[6],""DO"":[7469],""wTMP"":[1250],""wPH"":[400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",17/11/2023 12:21:59.828501+08
"{""TMP"":[469],""HR"":[7430],""PRS"":[102100],""FX"":[6],""DO"":[2686],""wTMP"":[1250],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",17/11/2023 12:20:54.597745+08
"{""TMP"":[480],""HR"":[7640],""PRS"":[102000],""FX"":[6],""DO"":[1617],""wTMP"":[1270],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",17/11/2023 12:19:49.166223+08
"{""TMP"":[460],""HR"":[7469],""PRS"":[102000],""FX"":[6],""DO"":[1287],""wTMP"":[1260],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",17/11/2023 12:18:43.564564+08
"{""TMP"":[460],""HR"":[7510],""PRS"":[102000],""FX"":[5],""DO"":[10261],""wTMP"":[1250],""wPH"":[400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",17/11/2023 12:17:37.970021+08
"{""TMP"":[469],""HR"":[7569],""PRS"":[101900],""FX"":[5],""DO"":[2049],""wTMP"":[1250],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",17/11/2023 12:16:32.58218+08
"{""TMP"":[450],""HR"":[7440],""PRS"":[102000],""FX"":[5],""wTMP"":[1250],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",17/11/2023 12:15:26.950964+08
"{""TMP"":[460],""HR"":[7690],""PRS"":[102000],""FX"":[5],""DO"":[2126],""wTMP"":[1260],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",17/11/2023 12:14:19.584508+08
"{""TMP"":[450],""HR"":[7640],""PRS"":[102000],""FX"":[6],""DO"":[1677],""wTMP"":[1250],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",17/11/2023 12:13:14.029576+08
"{""TMP"":[450],""HR"":[7560],""PRS"":[102000],""FX"":[6],""DO"":[2207],""wTMP"":[1240],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",17/11/2023 12:12:08.469481+08
"{""TMP"":[480],""HR"":[7569],""PRS"":[102000],""FX"":[5],""DO"":[2264],""wTMP"":[1240],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",17/11/2023 12:11:02.884623+08
"{""TMP"":[480],""HR"":[7640],""PRS"":[102000],""FX"":[6],""DO"":[2324],""wTMP"":[1240],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",17/11/2023 12:09:57.306524+08
